first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
ราตรีเทียนทีปแจ้ง,เจาะงาม,มัวม่อนนนตรีตาม,ติ่งถ้อ,อุตส่าห์กั่นโลงนาม,ชักชอบ ชื่นเอย,บุญพี่พอเปลื้องปล้อ,ปล่าซ้ำเซาทวง
สนธยายามเยี่ยแล้ง,ลมถวิล,หนาวอ่อนอรยุพิน,พรากข้าง,อรชรชอบยามยิน,อุดเล่า ไปเอย,ขามเขือดเขงน้องร้าง,เรียกขวัญขวัญมา
ปานนี้นักนิ่มเนื้อ,สมสมร,จักโอบเอวองค์อร,อ่อนเหล้น,หนาวลมล่วงอรชร,ใจพี่ มาเอย,เปี่ยนเปล่านุชน้องเร้น,ร่ำถ้อนถึงอวร
รุ่งแลแล้วเช้าชอบ,ชวนรส,ชมตื่นเต็มไพคด,เล่าผ้าย,พานุชเน่งบรรพต,รังเรื่อ มาแฮ,เกวียนก่อนนุชยังย้าย,คั่งแคร้คลองถนน
สุญารามหนึ่งหั้น,บุญเลง,ที่รูปไททังเมง,ม่านเงี้ยว,ถือลาดาบกับเกง,สกรรจ์แก่น คนแฮ,ช้างฉวาดพันเกล้าเกลี้ยว,แกว่นสู้สงคราม
ส้มสูกซรอยผ่งแผ้,ผายงาม,แดงดาดเต็มอาราม,หร่ามหน้า,ปูนสนุกพ้นไพรสนาม,สนิทเช่น รักเอย,ฤาบ่มาพร้อมข้า,บุ่งชู้ชมผกา
บงช้างเผียวไผ่ค้อม,ไกวกวัด,อืออืดนูเนื้อคัด,คล่าร้อง,สาอ่อนอรเทียวทัด,เทียมพี่ เพาเอย,ยินสำเนียงนี้ถ้อง,เที่ยงถ้องถามเรียม
รลึกเห็นหน้าน้องดุจ,เห็นหัน นาแม่,ยินแต่ตาจักฝัน,ใช่หน้า,รอยตนแต่ใจขวัญ,แขวนขื่น มาฤา,ศรีแม่มาน้องหน้า,คว่าค้อมกระหายหน
อันรักร้อยฟ้าฟาก,ภูวดล ก็ดี,คืออยู่กลางทวงหน,แห่งข้า,บรักเสกสันขน,ในเว่น วักขเอย,ฤาห่อนยลแย้มหน้า,นาฏเอ้ยวัลพา
มณีแก้วกล้าเกิด,กลางตา ก็ดี,ยังมิเห็นยลนา,น่าน้อง,อันอวรซึ่งทุรา,ยินโยชน์,ยินยิ่งชวนชิดห้อง,ห่อไว้วักเรียม
ถึงศาลาเทพหั้น,บริสุทธิ์ สว่างแฮ,ชุมเที่ยวไทชินบุตร,ย่อมยั้ง,พานุชแกว่งกงอุด,โอนอาต มาเอย,เรียมดำเนินนิจจั้ง,จอดเจ้าจักดล
ศาลาลินห่อหั้น,หักชล ก็ดี,ชักเชือกเวถีบน,บ่อแห้ว,พงศ์เทพเทพาตน,สักสาด เรียมเอย,สามิมาน้องแก้ว,พี่ชี้ชวนดู
คราวนี้รมร่มเสี้ยง,ไพรแพระ ออกแฮ,สายเสี่ยงผินพลานและ,ล่าวร้อน,ฝูงเทียวเท่าทอแทะ,ครองร่ม รักแฮ,โอ้เอนดูเนื้ออ้อน,อ่อนไอ้ดลเดิน
คราวนี้รอนร้านร่ม,ราวหา ยากเอย,จักจอดถึงนัครา,ร่มหร้า,มัชยาขว่ายอาพา,ผัสราค รสเอย,เจ็บจ่ำงือหม้ายหม้า,แม่ช้ำแถมถนอม
สงสารเจ็บจากชู้,แวนขสด,ใดด่วนมาแทนทด,แทกได้,มวนดีกว่าอันอด,อบโศก ทุกข์นี,ดายชีลางแล้วให้,สว่างเสี้ยงใจเรียม
สงสารสุดเท่าน้อง,นุชศรี,ใครมิเจียรสลายมี,มี่รู้,หกสวรรค์สี่ธรณี,ฤาแทบ เทียมเอย,ตายกว่าลางแล้วสู้,สู่ก้ำดวงนิพาน
บุรีรมเยศแล้ว,เลินถมอ,คือข่ายบนบัวกอ,กีบตั้ง,สี่มุขเมฆมุ่งหอ,เลยเลิศ งามแฮ,ทวารเขื่อนขืนแข่งขั้ง,ข่ามข้าศึกแสลง
ฤษีศักดิ์ศาสตร์สร้าง,เดียวเดิม,ยังก่อนมังรายเริม,ราชท้าว,สังขารคิดเขียนเติม,ตามรูป รอยเอย,กอบก่อทุกด้านด้าว,หากแล้วด้วยฤทธิ์
ฤาษีสรัพศาสตร์ไท้,ชฎาธาร ท่านแฮ,ทั้งแปดสำมัชฌาญ,เสพสร้าง,อัมพรวิ่งวงทะยาน,ยังเมฆ ไปแฮ,ปดที่ออนอันร้าง,รีบหื้อสมสมร
ยลเห็นพระธาตุเจ้า,จอมจักร,เป็นปิ่นอุพารักษ์,เลิศลํ้า,ทายกรอำรุงรักษ์,รมเจด งามเอย,ปราสาทใส่แสงซ้ำ,เมื่อน้องนารีรม
ประทายทวารต่อท้าว,ถึงขง,อเนกน้องป่าป่ง,เหนกช้า,บริเวณส่ำแสนองค์,อกแน่ง น้องเอย,ทั้งสี่สมควรข้า,ลอบเสี้ยงศุภสาร
มหาชินธาตุเจ้า,เจดีย์,เหมือนแท่งคำสิงคี,คู่เพี้ยง,สัตว์คำคาดมณี,ควรค่า เมืองแฮ,เปลวเปล่งดินฟ้าเสี้ยง,สว่างท้าวอัมพรา
เจดีย์ชินธาตุเจ้า,ศรีสถาน,ขามโสพิศพงาปราณ,เกศเกล้า,ทัศมนมิพอปาน,พอคู่ คมเอย,ฤาเลิศใต้ทิพเท้า,เท่าเว้นอุบพาศรี
มหาชินธาตุเจ้า,จอมจักร,เป็นปิ่นทศลักษณ์,เลิศหล้า,เลงแลมิใครทัก,เทียมแทก ใดเลย,เทาดิวางหว้ายฟ้า,ฟากด้าวดาวดึงส์
ระวังเวียงแวดขั้น,สมสอง สว่างแฮ,ทุกแล่งเฉลิมฉัตรทอง,เทพเอื้อน,พิหารสี่หลังยอง,ยังเงื่อน งามเอย,เทียมลวังช่วนเชื้อน,สี่ด้านถึงถลู
บริเวณละเลื่อนล้อม,ปาณสัตว์,สาวบ่าวหญิงชายคัด,คั่งแคร้,รัตตินทิวาวัด,อันค่ำ คืนเอย,บ่ห่างสักเมดแม้,เมื่อใกล้วิภาดา
พะทีปตนแจ่มจ้อน,หทัย พี่แฮ,บริเยศหาหนใด,บ่ได้,ปารนีร่มคลาไคล,คองพี่ พูนแฮ,แปงเจดเนื้อน้องให้,ช่วยตั้งอนุโม
ศศิใสส่องฟ้า,วรบัน,แสลงส่องมนดนดัน,เพริดแพร้ว,สะสาส่องเห็นหัน,ยังเพื่อน แพรวเฮย,โอ้ว่ายลน้องแก้ว,กว่านั้นนานเห็น
นิสาสาวบ่พร้อม,สมสนุก นั้นแฮ,เมียงม่ายเผือผันทุก,แห่งห้อง,สาอวรออกมาสุข,เริมเช่น รักเอย,แพงเจดวางไว้น้อง,นาฏไท้ทิพารม
นับมือผับแผ่นพร้อม,พนิดา,งามต่างงามภูษา,ย่องหยั่น,จักเทียมแทรกเสน่หา,หายาก ยิ่งเอย,หลอแต่ร่างเรียมดั้น,กลิ่นแก้วสาลัย
ทุงทองทังทีปตั้ง,บูชา,ปีคู่ทักขิณา,หว่านไหว้,เป็นผลเผื่อกิริยา,ยังขึ่น รักเอย,ถวายอนงค์น้องได้,แด่แล้วเสน่หา
กระษัตราติงเกศเกล้า,ก่อถวาย,เป็นสากษีเรียมหมาย,เหมือดหมั้น,วางเพาโพดทังสวาย,เสียรุ่ง ก็ดี,ก่อเหตุนุชน้องกั้น,คอบชู้เจียนสลาย
สุพรมมาลมิงไม้,ทวายทุม ก็ดี,ท่านทังถวายพินพุม,เรียกรู้,ปราไสยพุทธังกุม,กวมโลก นี้เอย,วุเทศทังช่วยชู้,ช่วยค้ำบารมี
รัชนีเพิ่งพุ่งแจ้ง,จวนตะวัน,แสงส่องรังสีจันท์,แจ่มฟ้า,สามินีดุจดูวัน,รวีแว่น ยังเอย,สนุกสนานด่าวหล้า,หล่อหล้มเมทนี
อุดสาเสียงสว่างสร้อย,รัชนี,กรกั่นโลงทันที,อ่านอ้อย,บารดเรียกมาลี,เบงบาต ทุมเอย,ตรีโจกทูทุกถ้อย,เถี่ยงถ้อยถามชัย
