first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
ชะนีโหยอกพี่ไห้,หานาง,พิลาปสลดจิตหมาง,ม่อยม้วย,จรบรรจวบลุกลาง,ดงดึก แล้วแม่,เรียมไป่วายนึกสร้อย,สวาดิน้องเนาหลัง
ยามดึกเดือนเด่นฟ้า,แฝงโพยม,นึกสมรแมกโฉม,ฉากกั้น,เรียมลอบมาลักโลม,เผดิมฤกษ์ รักแฮ,นุชประหม่าเรียมนั้น,นึกแล้วฤๅลืม
ดาวเดือนระดับพื้น,นภา,โอภาสผ่องเพหา,พร่างพร้อย,นึกวันฤกษ์ววาห์,เรียมร่วม สวาดิแฮ,โคมจุดตรูระย้าย้อย,แต่งห้องแขวนหอ
ปางนี้เรียมจักได้,ชมใด เล่านา,ยลแต่ดวงแขไข,ขอบฟ้า,ชมดาวประดับใน,อากาศ เทอญพ่อ,ชมแต่เดือนแทนหน้า,หนุ่มน้องคราวจน
ดูเดือนยามด่วนโอ้,อาทร,โฉมแม่พักตร์เพ็ญสมร,มิ่งเจ้า,แม่จักนับเดือนทอน,ทุกค่ำ คืนเฮย,ฤๅจะละลืมเศร้า,สุขด้วยใครไฉน
เรียมคิดทุกถิ่นเมื้อ,มรรคา,จักสืบจักสื่อหา,ข่าวน้อง,ด้วยเรียมทุราทา,เรศเนิ่น แล้วแม่,ยังไป่ทราบเหตุซ้อง,สักน้อยในสมร
เรียมดลแดนถิ่นนี้,นามขยาย กล่าวแฮ,เรียกชื่อบ้านไร่ราย,รกรื้อ,ศาลาบอกชื่อหมาย,มารคระยะ ทางนา,ไร่จักหาของซื้อ,สิ่งน้อยฤๅมี
เรียมเลยไป่อาจเข้า,ถามของ,เกรงว่าพวกไร่จอง,จับไว้,เพราะว่ามืดจักมอง,ทางยาก ยิ่งนา,เรียมรีบจากไร่ไคล้,คลาดด้วยโดยพลัน
บ้านไร่ชาวไร่ร้าง,แรมนาน,ยังแต่ซากไร่ขนาน,ชื่อรู้,นุชพี่อยู่เรือนชาน,หลังโดด เดียวแม่,ฤๅจะสมชู้ชู้,สละแล้วเรียมคืน
ยิ่งนึกยิ่งแปลกนํ้า,ใจจริง,สามสิบสองกลหญิง,ยากแท้,หากว่าเช่นนี้จริง,จักเจ็บ ยิ่งนา,ผิดก็กลกลแก้,ต่อด้วยกลนาง
คิดจนจรล่วงลํ้า,ลำเนา ทางเฮย,ยังไป่วายคะนึงเสา,วณิตน้อง,ผิวยอดยุพเยาว์,เสน่ห์พี่ มาฮา,คงจะพาเรียมซ้อง,สนุกด้วยดูไพรฯ
อกเอยอนาถโอ้,เอกา กายเอย,เห็นแต่ไพรพฤกษา,ซอกซุ้ม,แสงจันทร์กระจ่างอา,กาศผ่อง แผ้วแฮ,เงากาศทงุ่มงุ้ม,พี่ชะเง้อหานาง
หมายสมรจักแมกไม้,มาคอย เรียมฤๅ,จิตหวาดผวาถอย,ถดถ้า,พบแต่พฤกษ์ไพรดอย,แดนชัฏ,เสียวสลดลดหน้า,นิ่งแล้วเลยจร
ลุศาลาใหม่ชี้,นามศัพท์ เสนอแฮ,ใหม่ชื่อศาลายับ,โยกโย้,ระเบียงฝาฟากพื้นปรับ,เปรียบปลวก กินฤๅ,ยังแต่ต้นเสาโอ้,ปักไว้วังเวง
ศาลาเสาแก่นตั้ง,ติดดิน,โอไป่ควรปลวกกิน,กัดได้,นุชพี่จักควรถวิล,หวังห่วง เสน่ห์นอ,เรียมก็ไกลใช่ใกล้,เกลือกชู้ชิงสงวน
เป็นห่วงเหตุห่างห้อง,นางนาน,ฤๅว่าชายลอบสมาน,มั่งแล้ว,ใครเลยจักเอาภาร,พิทักษ์เสน่ห์ เรานา,ใจพี่ฝากใจแก้ว,เนตรไว้หว่างใจ
บุญโทพิทักษ์เกื้อ,กันมา,กอปรก่อเสนหา,ร่วมห้อง,เผด็จไพรุบัติพา,เหียรห่าง ยิ่งแฮ,ผดุงอนุชไว้ต้อง,แต่ข้อยคู่ถนอม
รํ่าพลางเร่งเพื่อนให้,รีบเดิน,ในพนัสผลูเถิน,ถิ่นกว้าง,แจร่มแสงศศิเจริญ,ราวป่า,อกพี่ว้าเหว่ว้าง,เทวษเพี้ยงผุยผง
อ้าอรอุ่นอกโอ้,เรียมมา,ลิบลับจักเหลือบหา,แห่งบ้าน,พอสั่งเสน่ห์สารทา,เรศอยู่ หลังแฮ,พบแต่หมู่ไม้ก้าน,กิ่งต้นเต็มผลู
มืดค่ำเรียมไป่รู้,ยลใด เล่านา,ถนัดแต่กอไผ่ไสว,วาบว้า,ไผ่โยกยอดไผ่ไกว,ลำเบียด ดังแฮ,ซอไผ่เพียงซอท้า,เอกทุ้มทำนอง
เรียมงงชะงักยั้ง,ฟังศัพท์,นึกแม่สาวเสน่ห์ขับ,กล่อมห้อง,วันวิวาห์เรียมรับ,นุชร่วม หอแฮ,เรียมนิทรแนบน้อง,สนิทเนื้อเหนือเตียง
บงบัตรระเบียบไม้,รายทาง,ถนัดเมื่อศศิสาง,ส่องพื้น,กิ่งก่ายระกะกาง,กลดัด ดีเฮย,รุกขชาติไม้ชื้น,พี่ซ้ำทรวงตรอม
บรรลุบ่อโศกโอ้,อกกรม,แสนบ่อโศกฤๅสม,โศกร้าง,บ่อเอยบ่อโศกระทม,ทุกข์โศก ใดนา,วานบ่อบอกโศกบ้าง,บ่อเศร้าโศกไฉน
บ่อโศกนามย่านนี้,โศกนัก,บ่อโศกเสมอจัก,ขาดน้ำ,เรียมบำราศรักหนัก,อกโศก ยิ่งนา,ถนัดบ่อโศกโศกซ้ำ,โศกซ้อนเสียดทรวง
บ่อโศกต้นโศกครึ้ม,ครึมเครือ,คลุมบ่อ บ ได้เหลือ,ลับลี้,โศกบ่อโศกต้นเจือ,เจ็บโศก เรียมฮา,สามโศกถนัดชี้,เช่นช้ำทรวงเรียม
เห็นโศกใครโค่นต้น,ตัดใบ,ฤๅว่าโศกใครไข,ข่าวแจ้ง,เรียมนึกโศกกลางใจ,ระลึกจาก เจ้านา,กลกับกิ่งโศกแห้ง,หักค้างจำตาย
เรียมโศกจากนุชแล้ว,ฤๅพอ,ยังเพิ่มพบโศกกอ,กิ่งร้าง,โศกตายติดแต่ตอ,ตัดท่อน ทิ้งเฮย,ดุจพี่เด็ดโศกคว้าง,คว่างไว้ไกลตา
วังเวงสวาดิโอ้,อาทวา,นึกอนาถขนิษฐา,ทอดไว้,จากอรแอบอกอา,ดูรพี่ วายฤๅ,ระลึกระลวงลานให้,โหกเพี้ยงวายปราณ
รีบจากบ่อโศกไคล้,คลาเดิน,นึกอกเรียมแรมเหิน,ห่างน้อง,ขวัญเนตรแม่เคยเชิญ,ชวนพี่ เพื่อนฮา,เคยประคองเข้าห้อง,ทุกเมื้อยามนอน
เรียมมาจรล่วงลํ้า,ลำเนา เนินเฮย,เซียบสงัดหงิมเหงา,เงียบพื้น,ทรวงพี่ยิ่งกำเดา,ดาลเทวษ วายฤๅ,บงแต่ใบไม้ครื้น,ครึ่มต้นเต็มไพร
พอดลดงโอบโอ้,จวนดึก,เล็งละแวกวลีพฤกษ์,พรั่งต้น,ดามเฌอชัฏอธึก,ทุมชาติ ชุมแฮ,เรียมตะลึงแลค้น,คู่สร้างสาวสมร
ดงโอบนามกล่าวอ้าง,อธิบาย,นึกพี่เคยโอบสาย,สวาดิเคล้า,นุชเคืองข่วนกายราย,รอยเล็บ มีแม่,โกรธว่าพี่หยอกเย้า,หยิกให้หนำใจ
ยามแอบเคยโอบโอ้,อาลิงค์ โลมแฮ,กรปัดป้องกระบวนหญิง,ยั่วชู้,รมย์รสร่วมรักจริง,ใจนุช ชอบนา,เรียมนึกตระหนักรู้,รสน้องในใจ
ใดเรียมเคยโอบน้อง,เนาตัก,ผจงเสน่ห์นางผลัก,พลิกแค้น,นึกยังอุ่นกรหนัก,เพลาพี่ เจียวแม่,กลิ่นแม่ยังติดแม้น,เมื่อครั้งวันสงวน
กลางดงประดาษโอ้,อกเรา,เล็งลดาทอดเถา,โอบไม้,สนมสนิทกลมเกลา,เกลียวแน่น,กลกับเรียมร่วมใกล้,กล่อมอุ้มโอบนาง
ดงโอบจักโอบอุ้ม,แอบใคร เล่านา,ถนัดทุมาลย์หมู่ไสว,ว่างว้าง,เสนาะจักรจั่นไพร,เพรียกยอด ยางเอย,เสียงสนั่นดงกว้าง,เพรียกก้องกลางไพร
เรไรระเรื่อยร้อง,รัญจวน จิตเอย,หริ่งหริ่งระรี่หวน,แหบร้อง,ฟังจบกระมลยวน,ยิ่งยิ่ง เสนาะนา,แซ่ศัพท์ลองไนก้อง,กึกพื้นเพียบพนา
สรรพสัตว์ศัพท์แซ่ซ้อง,สำเนียง,จังหรีดกรีดเกริ่นเสียง,ซอกซุ้ม,เรียมสดับหมอบเมียง,มองแมก ไม้นา,นึกนุชแอบสุมทุ้ม,ถนัดร้องเรียกเรียม
กำเดาแดด่วนไคล้,คลาจร,แสนโศกคะนึงสมร,แมกเนื้อ,เจ็บจิตยิ่งหนามชอน,ไชอก เรียมเอย,เรียมแต่บำราศเรื้อ,รักร้างฤๅเสบย
โอ้สายสุนทรยอดสร้อย,สงสาร พี่เอย,ทาเรศรัตนดวงมาลย์,มิ่งแม้น,อัปสรรูปฤๅปาน,โฉมนุช หนึ่งนา,บำราศนุชเรียมแค้น,คิดแล้วเคืองเวร
รวยรสบุปผชาติชื้น,ชายดง,มลุลีกาหลง,เกดแก้ว,สายหยุดประยงค์ชง,โคกลิ่น ตลบแฮ,ปีบป่ากล้วยเต่าแต้ว,ดอกช้อยชูผกา
กล้วยไม้อังกาบอ้อย,อิพภ์ไพร,บุนนาคลำดวนไสว,หว่างฟื้น,ส่งกลิ่นตลบใน,แนวป่า,กลรสประทิ่นชื้น,ชุบผ้าห่มสมร
บุปผาเผยกลิ่นฟุ้ง,ตามลม,เฉกรสสุคนธฉม,ฉาบหน้า,ระลุงระลึกลาญตรม,ตรอมเสน่ห์ นางเอย,กลกับกลิ่นสไบผ้า,ร่ำน้องหอมระเหย
ทองกวาวบานกลีบต้อง,แสงเดือน,สีสดสะอาดเหมือน,แสดผ้า,สบจักษุเสกเตือน,ตึกพเนก นองแฮ,ลานตะลึงระลึกหน้า,นุชแล้วขวัญหาย
คิดนุชทุกย่านย้าย,ยาตรทาง,ตลอดวิถีฤๅขนาง,หน่ายน้อง,กรานเกริ่นกระโหยกลาง,ดงโดด เดียวแม่,เคืองแต่เวรใดต้อง,จากเจ้าจรฉงาย
ดลศาลาชื่อเจ้า,เณรนาม เสนอแฮ,เรียมคิดฉงนถาม,เหตุพร้อง,เขากล่าวแสดงความ,เพรงเล่า มาแม่,ว่าพยัคฆ์ตัวใหญ่จ้อง,ขบคั้นกินเณร
สงสารเณรชีพม้วย,มรณา,แสนอนาถหนักหนา,นึกบ้าง,เออเณรไป่ควรพาฬ์,พยัคฆ์ขบ เคี้ยวฤๅ,นึกว่ากรรมก่อนสร้าง,สิ่งนี้หนอเณร
เณรเอยเสือฆาตคั้น,จำตาย,พ่ออย่าเสียใจหมาย,ภาคหน้า,นึกปริตยาคกาย,แก่พยัคฆ์ เทอญพ่อ,โอแต่ตัวของข้า,ไป่รู้วันตาย
